"baseline","phs_detect","mean","median","sd","stderr","ci_upper","ci_mean","ci_lower","instruction","ci"
32,0,30.0335590277778,30.3016666666667,1.40337729677463,0.097306707737365,30.233330042223,30.0335590277778,29.8337880133325,"detect",0.399542028890529
32,0,11.7718703703704,11.6166666666666,9.27704851743118,0.643247579126256,13.1363526098539,11.7718703703704,10.4073881308868,"pain",2.72896447896706
38,0,29.5111918063315,29.8033333333333,1.23490377587196,0.0856251708494317,29.6933369182638,29.5111918063315,29.3290466943992,"detect",0.364290223864586
38,0,13.4611657559199,13.8833333333333,9.761214788143,0.676818469797442,14.8848835604086,13.4611657559199,12.0374479514312,"pain",2.8474356089774
44,0,29.2033547008547,29.4983333333333,1.21832810388504,0.0844758547864677,29.3960424854172,29.2033547008547,29.0106669162922,"detect",0.385375569125003
44,0,13.5897207678883,13.64,9.83050313317907,0.681622752120895,14.9928002672505,13.5897207678883,12.1866412685261,"pain",2.80615899872447
32,1,27.7045833333333,28.0383333333333,2.4647063907477,0.170896639823166,29.0179326624577,27.7045833333333,26.391234004209,"detect",2.62669865824873
32,1,11.4352380952381,10.8083333333333,7.95424986329404,0.551527994999213,14.519574203655,11.4352380952381,8.35090198682118,"pain",6.16867221683384
38,1,28.6519540229885,28.8066666666667,1.50108096427297,0.104081238179022,29.2229346851877,28.6519540229885,28.0809733607893,"detect",1.14196132439846
38,1,14.4945333333333,16.0633333333333,9.62517935763623,0.66738610979798,18.4676120996608,14.4945333333333,10.5214545670059,"pain",7.94615753265487
44,1,28.0079487179487,28.37,2.47193873564597,0.171398112714946,28.6961408566473,28.0079487179487,27.3197565792501,"detect",1.37638427739716
44,1,16.7507843137255,21.88,10.6823030268532,0.740684448141602,22.2431177271148,16.7507843137255,11.2584509003362,"pain",10.9846668267786
